Year,Month,Day,water_year,water_month,water_day,model,flow,rcp
2096,1,24,2096,4,116,CCSM4,224596.36,8.5
2096,2,4,2096,5,127,CMCC-CMS,120021.27,8.5
2096,2,15,2096,5,138,ACCESS1-0,258472.88,8.5
2096,2,17,2096,5,140,CESM1-BGC,785512.52,8.5
2096,3,22,2096,6,174,CanESM2,112294.59,8.5
2096,3,28,2096,6,180,GFDL-CM3,250818.44,8.5
1981,1,5,1981,4,97,GFDL-CM3,637660.98,8.5
1981,1,8,1981,4,100,ACCESS1-0,180080.01,8.5
1981,1,10,1981,4,102,CanESM2,480813.92,8.5
1981,2,7,1981,5,130,CESM1-BGC,1154808.6,8.5
1981,2,25,1981,5,148,CCSM4,177377.88,8.5
1981,2,26,1981,5,149,MIROC5,811575.82,8.5
1981,3,2,1981,6,153,CMCC-CMS,698686.53,8.5
1981,3,5,1981,6,156,HadGEM2-ES,438674.24,8.5
1981,3,6,1981,6,157,HadGEM2-CC,239951.97,8.5
1981,5,25,1981,8,237,CNRM-CM5,255649.23,8.5
1981,12,7,1982,3,68,MIROC5,354538.15,8.5
1981,12,17,1982,3,78,CCSM4,290437.32,8.5
1981,12,28,1982,3,89,CMCC-CMS,66135.32,8.5
1982,1,4,1982,4,96,CanESM2,447618.07,8.5
1982,1,30,1982,4,122,HadGEM2-CC,161174.17,8.5
1982,2,13,1982,5,136,HadGEM2-ES,218272.94,8.5
1982,3,1,1982,6,152,CESM1-BGC,960974.54,8.5
1982,3,3,1982,6,154,CNRM-CM5,781268.86,8.5
1982,3,31,1982,6,182,ACCESS1-0,392040.43,8.5
1982,4,2,1982,7,184,GFDL-CM3,212489.83,8.5
1982,12,8,1983,3,69,CNRM-CM5,151838.97,8.5
1983,1,6,1983,4,98,CCSM4,298721.94,8.5
1983,1,7,1983,4,99,CMCC-CMS,323699.04,8.5
1983,1,12,1983,4,104,MIROC5,126878.27,8.5
1983,1,13,1983,4,105,ACCESS1-0,308054.15,8.5
1983,1,22,1983,4,114,HadGEM2-ES,245602.12,8.5
1983,2,6,1983,5,129,GFDL-CM3,360716.12,8.5
1983,2,8,1983,5,131,CESM1-BGC,643440.1,8.5
1983,2,26,1983,5,149,CanESM2,295350.12,8.5
1983,5,4,1983,8,216,HadGEM2-CC,222924.71,8.5
1985,1,6,1985,4,98,CMCC-CMS,180165.46,8.5
1985,2,5,1985,5,128,CNRM-CM5,1332529.81,8.5
1985,2,5,1985,5,128,MIROC5,1273056.46,8.5
1985,2,16,1985,5,139,CanESM2,612512.3,8.5
1985,2,26,1985,5,149,HadGEM2-CC,691945.18,8.5
1985,3,22,1985,6,173,GFDL-CM3,387491.22,8.5
1985,4,14,1985,7,196,CCSM4,115684.85,8.5
1985,4,15,1985,7,197,ACCESS1-0,213727.58,8.5
1985,5,3,1985,8,215,CESM1-BGC,156397.4,8.5
1985,5,4,1985,8,216,HadGEM2-ES,543109.68,8.5
1985,12,3,1986,3,64,CESM1-BGC,80683.82,8.5
1986,1,14,1986,4,106,CNRM-CM5,198700.57,8.5
1986,1,28,1986,4,120,HadGEM2-ES,116379.19,8.5
1986,2,4,1986,5,127,HadGEM2-CC,710256.03,8.5
1986,2,5,1986,5,128,GFDL-CM3,657836.46,8.5
1986,2,21,1986,5,144,MIROC5,243085.47,8.5
1986,3,1,1986,6,152,CanESM2,555083.57,8.5
1986,3,2,1986,6,153,CCSM4,555814.71,8.5
1986,3,2,1986,6,153,CMCC-CMS,181708.82,8.5
1986,4,26,1986,7,208,ACCESS1-0,69080.58,8.5
1986,12,28,1987,3,89,CanESM2,126635.41,8.5
1987,1,10,1987,4,102,CCSM4,205486.87,8.5
1987,1,27,1987,4,119,CMCC-CMS,131316.91,8.5
1987,2,8,1987,5,131,CNRM-CM5,89975.96,8.5
1987,2,9,1987,5,132,GFDL-CM3,159589.72,8.5
1987,2,15,1987,5,138,ACCESS1-0,68139.89,8.5
1987,2,19,1987,5,142,HadGEM2-CC,338822.46,8.5
1987,2,20,1987,5,143,CESM1-BGC,139959.21,8.5
1987,3,17,1987,6,168,MIROC5,344460.06,8.5
1987,4,3,1987,7,185,HadGEM2-ES,341515.8,8.5
1988,12,7,1989,3,68,CNRM-CM5,285895.89,8.5
1989,1,17,1989,4,109,CMCC-CMS,455780.14,8.5
1989,1,18,1989,4,110,MIROC5,130927.41,8.5
1989,1,26,1989,4,118,HadGEM2-CC,125324.67,8.5
1989,2,8,1989,5,131,HadGEM2-ES,246980.48,8.5
1989,2,9,1989,5,132,ACCESS1-0,715028.43,8.5
1989,2,24,1989,5,147,CanESM2,603985.61,8.5
1989,3,10,1989,6,161,CCSM4,415370.14,8.5
1989,4,8,1989,7,190,CESM1-BGC,115080.58,8.5
1989,5,2,1989,8,214,GFDL-CM3,537350.41,8.5
1989,12,29,1990,3,90,MIROC5,127606.34,8.5
1990,1,17,1990,4,109,GFDL-CM3,254383.51,8.5
1990,1,27,1990,4,119,HadGEM2-ES,296794.98,8.5
1990,2,17,1990,5,140,CNRM-CM5,543005.99,8.5
1990,2,22,1990,5,145,CanESM2,1072544.41,8.5
1990,3,3,1990,6,154,CMCC-CMS,323272.41,8.5
1990,3,7,1990,6,158,ACCESS1-0,82465.87,8.5
1990,3,7,1990,6,158,CCSM4,285721.71,8.5
1990,4,3,1990,7,185,CESM1-BGC,135093.14,8.5
1990,4,3,1990,7,185,HadGEM2-CC,141033.64,8.5
1990,12,10,1991,3,71,HadGEM2-CC,622586.98,8.5
1991,1,21,1991,4,113,CanESM2,443055.65,8.5
1991,3,3,1991,6,154,GFDL-CM3,80314.32,8.5
1991,3,4,1991,6,155,CMCC-CMS,103515.92,8.5
1991,3,8,1991,6,159,ACCESS1-0,131788.95,8.5
1991,3,23,1991,6,174,CNRM-CM5,364437.06,8.5
1991,3,29,1991,6,180,CCSM4,427130.11,8.5
1991,4,6,1991,7,188,MIROC5,223247.45,8.5
1991,4,7,1991,7,189,HadGEM2-ES,197196.11,8.5
1991,4,25,1991,7,207,CESM1-BGC,214449.24,8.5
1992,12,24,1993,3,85,CCSM4,426968.67,8.5
1993,1,24,1993,4,116,MIROC5,495125.29,8.5
1993,1,31,1993,4,123,GFDL-CM3,153724.67,8.5
1993,2,18,1993,5,141,CESM1-BGC,530323.62,8.5
1993,3,3,1993,6,154,CMCC-CMS,697459.02,8.5
1993,3,15,1993,6,166,CNRM-CM5,192914.17,8.5
1993,3,28,1993,6,179,ACCESS1-0,190225.01,8.5
1993,4,25,1993,7,207,CanESM2,93503.75,8.5
1993,5,2,1993,8,214,HadGEM2-CC,329645.89,8.5
1993,6,5,1993,9,248,HadGEM2-ES,114229.23,8.5
1994,1,18,1994,4,110,GFDL-CM3,490532.9,8.5
1994,3,2,1994,6,153,HadGEM2-CC,257398.6,8.5
1994,3,3,1994,6,154,CNRM-CM5,396640.02,8.5
1994,3,9,1994,6,160,CMCC-CMS,493659.72,8.5
1994,3,16,1994,6,167,CanESM2,643928.55,8.5
1994,3,21,1994,6,172,HadGEM2-ES,267231.97,8.5
1994,4,2,1994,7,184,ACCESS1-0,265050.05,8.5
1994,4,7,1994,7,189,MIROC5,166430.78,8.5
1994,4,17,1994,7,199,CCSM4,206138.68,8.5
1994,5,2,1994,8,214,CESM1-BGC,244355.11,8.5
1994,12,8,1995,3,69,CanESM2,121997.61,8.5
1994,12,9,1995,3,70,CCSM4,425191.65,8.5
1994,12,12,1995,3,73,CESM1-BGC,520992.25,8.5
1995,1,11,1995,4,103,HadGEM2-ES,262518.94,8.5
1995,1,19,1995,4,111,CNRM-CM5,568955.36,8.5
1995,1,28,1995,4,120,HadGEM2-CC,576347.08,8.5
1995,2,14,1995,5,137,CMCC-CMS,268528.96,8.5
1995,2,16,1995,5,139,GFDL-CM3,650272.96,8.5
1995,4,2,1995,7,184,MIROC5,168997,8.5
1995,4,18,1995,7,200,ACCESS1-0,542297,8.5
1996,12,20,1997,3,81,MIROC5,478155.54,8.5
1997,1,13,1997,4,105,CESM1-BGC,501374.49,8.5
1997,2,5,1997,5,128,CanESM2,348427.55,8.5
1997,2,9,1997,5,132,CNRM-CM5,658926.59,8.5
1997,2,25,1997,5,148,GFDL-CM3,513808.78,8.5
1997,3,8,1997,6,159,HadGEM2-ES,281200.85,8.5
1997,3,14,1997,6,165,CMCC-CMS,464638.51,8.5
1997,3,26,1997,6,177,HadGEM2-CC,101164.5,8.5
1997,5,2,1997,8,214,CCSM4,241495.94,8.5
1997,5,3,1997,8,215,ACCESS1-0,147294.64,8.5
1997,12,27,1998,3,88,CanESM2,368743.35,8.5
1998,1,3,1998,4,95,CMCC-CMS,250658.6,8.5
1998,1,25,1998,4,117,CNRM-CM5,597536.24,8.5
1998,2,15,1998,5,138,ACCESS1-0,781879.12,8.5
1998,2,18,1998,5,141,MIROC5,75018.33,8.5
1998,3,6,1998,6,157,HadGEM2-CC,569072.15,8.5
1998,3,6,1998,6,157,HadGEM2-ES,304368.12,8.5
1998,3,8,1998,6,159,CCSM4,291291.9,8.5
1998,3,17,1998,6,168,GFDL-CM3,164053.11,8.5
1998,4,1,1998,7,183,CESM1-BGC,252813.79,8.5
1999,1,7,1999,4,99,ACCESS1-0,318633.74,8.5
1999,2,25,1999,5,148,GFDL-CM3,604550.7,8.5
1999,3,2,1999,6,153,CNRM-CM5,124154.59,8.5
1999,4,2,1999,7,184,HadGEM2-ES,143341.98,8.5
1999,4,3,1999,7,185,HadGEM2-CC,182250.44,8.5
1999,4,4,1999,7,186,CCSM4,116679.93,8.5
1999,4,4,1999,7,186,CanESM2,158849.88,8.5
1999,4,24,1999,7,206,MIROC5,125610.15,8.5
1999,4,28,1999,7,210,CESM1-BGC,341547.94,8.5
1999,5,26,1999,8,238,CMCC-CMS,60602.83,8.5
2001,2,2,2001,5,125,MIROC5,198754.06,8.5
2001,2,3,2001,5,126,CCSM4,717513.36,8.5
2001,2,17,2001,5,140,CanESM2,128138.56,8.5
2001,3,5,2001,6,156,HadGEM2-CC,139295.32,8.5
2001,3,6,2001,6,157,GFDL-CM3,386641.63,8.5
2001,3,26,2001,6,177,ACCESS1-0,315800.76,8.5
2001,4,5,2001,7,187,CMCC-CMS,598891.73,8.5
2001,4,25,2001,7,207,HadGEM2-ES,291442.98,8.5
2001,6,10,2001,9,253,CESM1-BGC,81142.2,8.5
2001,9,22,2001,12,357,CNRM-CM5,63242.76,8.5
2002,1,3,2002,4,95,CESM1-BGC,539814.11,8.5
2002,1,4,2002,4,96,CMCC-CMS,544182.99,8.5
2002,1,22,2002,4,114,CCSM4,538149.03,8.5
2002,1,28,2002,4,120,HadGEM2-ES,304300.61,8.5
2002,2,3,2002,5,126,MIROC5,1018833.73,8.5
2002,3,23,2002,6,174,GFDL-CM3,200345.16,8.5
2002,3,26,2002,6,177,HadGEM2-CC,335605.88,8.5
2002,3,30,2002,6,181,CNRM-CM5,295736.23,8.5
2002,4,5,2002,7,187,ACCESS1-0,142044.42,8.5
2002,6,19,2002,9,262,CanESM2,53903.5,8.5
2002,11,23,2003,2,54,CanESM2,98583.84,8.5
2002,12,5,2003,3,66,GFDL-CM3,1107595.47,8.5
2002,12,26,2003,3,87,HadGEM2-CC,103676.33,8.5
2003,1,4,2003,4,96,HadGEM2-ES,211961.88,8.5
2003,1,15,2003,4,107,ACCESS1-0,360735.29,8.5
2003,2,10,2003,5,133,CESM1-BGC,316178.73,8.5
2003,2,17,2003,5,140,CMCC-CMS,449757.8,8.5
2003,3,18,2003,6,169,MIROC5,377652.88,8.5
2003,4,16,2003,7,198,CCSM4,53289.31,8.5
2003,6,4,2003,9,247,CNRM-CM5,91886.66,8.5
2004,12,15,2005,3,76,ACCESS1-0,211455.12,8.5
2005,1,19,2005,4,111,CESM1-BGC,1234811.03,8.5
2005,2,11,2005,5,134,CNRM-CM5,363473.4,8.5
2005,2,16,2005,5,139,HadGEM2-ES,203098.13,8.5
2005,3,5,2005,6,156,CanESM2,674431.67,8.5
2005,3,17,2005,6,168,GFDL-CM3,130538.33,8.5
2005,3,20,2005,6,171,MIROC5,153983.95,8.5
2005,4,2,2005,7,184,HadGEM2-CC,478403.84,8.5
2005,4,29,2005,7,211,CCSM4,238877.67,8.5
2005,5,14,2005,8,226,CMCC-CMS,122442.11,8.5
2005,12,7,2006,3,68,HadGEM2-ES,519668.58,8.5
2006,1,12,2006,4,104,CMCC-CMS,147320.08,8.5
2006,2,10,2006,5,133,CNRM-CM5,306624.71,8.5
2006,2,20,2006,5,143,CESM1-BGC,198463.61,8.5
2006,2,24,2006,5,147,ACCESS1-0,514153.02,8.5
2006,2,25,2006,5,148,CCSM4,1093177.43,8.5
2006,3,21,2006,6,172,MIROC5,192636.75,8.5
2006,3,22,2006,6,173,CanESM2,220304.54,8.5
2006,4,14,2006,7,196,GFDL-CM3,594252.76,8.5
2006,4,20,2006,7,202,HadGEM2-CC,91054.29,8.5
2006,11,10,2007,2,41,HadGEM2-ES,63635.31,8.5
2007,1,6,2007,4,98,GFDL-CM3,166372.55,8.5
2007,1,21,2007,4,113,CNRM-CM5,599041.19,8.5
2007,2,13,2007,5,136,CCSM4,633023.68,8.5
2007,2,27,2007,5,150,ACCESS1-0,274173.26,8.5
2007,3,2,2007,6,153,CanESM2,78996.88,8.5
2007,3,12,2007,6,163,HadGEM2-CC,551004.53,8.5
2007,3,22,2007,6,173,CMCC-CMS,96697.7,8.5
2007,4,2,2007,7,184,CESM1-BGC,82992.32,8.5
2007,4,3,2007,7,185,MIROC5,140360.78,8.5
2009,1,27,2009,4,119,MIROC5,706417.82,8.5
2009,1,29,2009,4,121,CNRM-CM5,485382.6,8.5
2009,1,30,2009,4,122,HadGEM2-CC,465866.11,8.5
2009,2,9,2009,5,132,CanESM2,701373.71,8.5
2009,2,11,2009,5,134,CESM1-BGC,456277.41,8.5
2009,3,2,2009,6,153,CMCC-CMS,278057.12,8.5
2009,3,23,2009,6,174,CCSM4,194302.38,8.5
2009,4,11,2009,7,193,HadGEM2-ES,180439.85,8.5
2009,4,15,2009,7,197,ACCESS1-0,185560.22,8.5
2009,5,3,2009,8,215,GFDL-CM3,296902.84,8.5
2009,12,30,2010,3,91,GFDL-CM3,238521.72,8.5
2010,1,19,2010,4,111,HadGEM2-CC,406861.17,8.5
2010,2,7,2010,5,130,MIROC5,414432.16,8.5
2010,2,20,2010,5,143,ACCESS1-0,689192.3,8.5
2010,2,26,2010,5,149,CNRM-CM5,181584.57,8.5
2010,3,5,2010,6,156,CESM1-BGC,729729.73,8.5
2010,3,5,2010,6,156,HadGEM2-ES,785476.58,8.5
2010,3,14,2010,6,165,CCSM4,916539.33,8.5
2010,3,14,2010,6,165,CanESM2,657937.86,8.5
2010,5,2,2010,8,214,CMCC-CMS,233527.49,8.5
2010,12,24,2011,3,85,GFDL-CM3,353668.01,8.5
2011,1,10,2011,4,102,CCSM4,546977.13,8.5
2011,1,18,2011,4,110,CMCC-CMS,85732.89,8.5
2011,1,26,2011,4,118,CanESM2,128181.23,8.5
2011,2,2,2011,5,125,HadGEM2-ES,197580.29,8.5
2011,2,4,2011,5,127,CESM1-BGC,216209.07,8.5
2011,2,15,2011,5,138,ACCESS1-0,198954.25,8.5
2011,2,15,2011,5,138,HadGEM2-CC,189495.54,8.5
2011,3,2,2011,6,153,MIROC5,104560.4,8.5
2011,3,9,2011,6,160,CNRM-CM5,230472.52,8.5
2012,12,3,2013,3,64,ACCESS1-0,92045.24,8.5
2013,1,24,2013,4,116,CNRM-CM5,525994.2,8.5
2013,1,31,2013,4,123,HadGEM2-ES,314299.06,8.5
2013,2,2,2013,5,125,HadGEM2-CC,342756.42,8.5
2013,2,28,2013,5,151,GFDL-CM3,292206.25,8.5
2013,3,3,2013,6,154,CMCC-CMS,689186.31,8.5
2013,3,29,2013,6,180,MIROC5,431648.22,8.5
2013,4,3,2013,7,185,CanESM2,120308.43,8.5
2013,4,20,2013,7,202,CESM1-BGC,98675.88,8.5
2013,4,21,2013,7,203,CCSM4,77838.5,8.5
2013,12,11,2014,3,72,GFDL-CM3,153298.27,8.5
2013,12,14,2014,3,75,CESM1-BGC,341233.21,8.5
2014,1,14,2014,4,106,CCSM4,237016.56,8.5
2014,1,17,2014,4,109,CNRM-CM5,958456.93,8.5
2014,1,19,2014,4,111,MIROC5,608881.06,8.5
2014,3,5,2014,6,156,CMCC-CMS,145505.34,8.5
2014,3,15,2014,6,166,ACCESS1-0,353876.7,8.5
2014,3,19,2014,6,170,HadGEM2-ES,178120.73,8.5
2014,3,25,2014,6,176,HadGEM2-CC,565137.6,8.5
2014,5,4,2014,8,216,CanESM2,252746.04,8.5
2015,1,19,2015,4,111,CanESM2,469923.03,8.5
2015,1,19,2015,4,111,GFDL-CM3,56038.9,8.5
2015,1,21,2015,4,113,ACCESS1-0,286969.66,8.5
2015,1,26,2015,4,118,CNRM-CM5,678656.88,8.5
2015,2,21,2015,5,144,HadGEM2-ES,502703.38,8.5
2015,2,26,2015,5,149,CMCC-CMS,329182,8.5
2015,3,19,2015,6,170,HadGEM2-CC,266997.25,8.5
2015,3,26,2015,6,177,CESM1-BGC,384672,8.5
2015,3,31,2015,6,182,MIROC5,386471.47,8.5
2015,5,15,2015,8,227,CCSM4,64239.57,8.5
2017,1,15,2017,4,107,CMCC-CMS,523471.41,8.5
2017,1,15,2017,4,107,GFDL-CM3,493972.91,8.5
2017,2,7,2017,5,130,ACCESS1-0,97291.76,8.5
2017,2,24,2017,5,147,CNRM-CM5,442620.83,8.5
2017,3,2,2017,6,153,CESM1-BGC,165484.91,8.5
2017,3,2,2017,6,153,HadGEM2-ES,223177.08,8.5
2017,3,8,2017,6,159,CanESM2,752434.75,8.5
2017,3,14,2017,6,165,CCSM4,444566.49,8.5
2017,4,6,2017,7,188,MIROC5,77117.18,8.5
2017,5,13,2017,8,225,HadGEM2-CC,154792.62,8.5
2017,12,4,2018,3,65,HadGEM2-ES,781431.06,8.5
2017,12,16,2018,3,77,MIROC5,210138.78,8.5
2018,1,7,2018,4,99,CNRM-CM5,745242.39,8.5
2018,1,15,2018,4,107,CMCC-CMS,201128.58,8.5
2018,2,4,2018,5,127,ACCESS1-0,99261.85,8.5
2018,2,28,2018,5,151,GFDL-CM3,609155.69,8.5
2018,3,2,2018,6,153,CCSM4,691726.01,8.5
2018,3,5,2018,6,156,CESM1-BGC,588664.44,8.5
2018,3,9,2018,6,160,CanESM2,611203.35,8.5
2018,4,3,2018,7,185,HadGEM2-CC,163027.79,8.5
2019,1,6,2019,4,98,MIROC5,85239.81,8.5
2019,1,13,2019,4,105,ACCESS1-0,203902.39,8.5
2019,1,22,2019,4,114,HadGEM2-CC,532487.9,8.5
2019,2,4,2019,5,127,CanESM2,649933.41,8.5
2019,2,10,2019,5,133,CNRM-CM5,794828.99,8.5
2019,2,26,2019,5,149,CESM1-BGC,191671.67,8.5
2019,2,28,2019,5,151,HadGEM2-ES,80363.44,8.5
2019,3,4,2019,6,155,GFDL-CM3,90945.53,8.5
2019,3,26,2019,6,177,CCSM4,186071.68,8.5
2019,5,11,2019,8,223,CMCC-CMS,203140.63,8.5
2020,12,28,2021,3,89,CanESM2,164384.75,8.5
2020,12,29,2021,3,90,HadGEM2-ES,110967.1,8.5
2021,1,29,2021,4,121,GFDL-CM3,114971.89,8.5
2021,2,2,2021,5,125,MIROC5,573686.27,8.5
2021,2,3,2021,5,126,CCSM4,244257.95,8.5
2021,2,19,2021,5,142,HadGEM2-CC,150295.57,8.5
2021,2,23,2021,5,146,CMCC-CMS,752596.74,8.5
2021,3,4,2021,6,155,CESM1-BGC,495828.04,8.5
2021,3,24,2021,6,175,ACCESS1-0,112998.24,8.5
2021,5,3,2021,8,215,CNRM-CM5,85532.51,8.5
2021,12,20,2022,3,81,CCSM4,599967.51,8.5
2022,1,13,2022,4,105,CESM1-BGC,109489.91,8.5
2022,1,23,2022,4,115,ACCESS1-0,230595.74,8.5
2022,2,2,2022,5,125,CMCC-CMS,1122825.34,8.5
2022,2,6,2022,5,129,CNRM-CM5,547985.81,8.5
2022,2,23,2022,5,146,CanESM2,133531.99,8.5
2022,3,2,2022,6,153,HadGEM2-ES,136743.61,8.5
2022,3,2,2022,6,153,MIROC5,591626.24,8.5
2022,3,4,2022,6,155,HadGEM2-CC,170125.14,8.5
2022,4,4,2022,7,186,GFDL-CM3,185534.05,8.5
2023,1,11,2023,4,103,CESM1-BGC,412178.57,8.5
2023,1,12,2023,4,104,CCSM4,457951.43,8.5
2023,2,9,2023,5,132,HadGEM2-CC,877478.58,8.5
2023,2,12,2023,5,135,ACCESS1-0,455208.71,8.5
2023,2,21,2023,5,144,CNRM-CM5,350483.77,8.5
2023,3,4,2023,6,155,CMCC-CMS,547059.53,8.5
2023,3,29,2023,6,180,HadGEM2-ES,638552.87,8.5
2023,4,12,2023,7,194,MIROC5,370290.47,8.5
2023,5,7,2023,8,219,GFDL-CM3,190076.23,8.5
2023,9,27,2023,12,362,CanESM2,357518.66,8.5
2025,1,11,2025,4,103,CESM1-BGC,651078.51,8.5
2025,1,17,2025,4,109,CCSM4,376582.25,8.5
2025,1,21,2025,4,113,CNRM-CM5,473236.94,8.5
2025,1,25,2025,4,117,ACCESS1-0,638599.86,8.5
2025,2,3,2025,5,126,HadGEM2-CC,755571.12,8.5
2025,2,21,2025,5,144,HadGEM2-ES,719106.41,8.5
2025,3,3,2025,6,154,CanESM2,161942.05,8.5
2025,3,24,2025,6,175,MIROC5,65647.45,8.5
2025,3,29,2025,6,180,GFDL-CM3,109775.24,8.5
2025,4,3,2025,7,185,CMCC-CMS,171499.83,8.5
2026,2,9,2026,5,132,CNRM-CM5,642245.55,8.5
2026,2,14,2026,5,137,CMCC-CMS,602743.85,8.5
2026,2,14,2026,5,137,HadGEM2-ES,163049.9,8.5
2026,2,17,2026,5,140,HadGEM2-CC,275842.09,8.5
2026,3,2,2026,6,153,GFDL-CM3,445771.96,8.5
2026,3,3,2026,6,154,ACCESS1-0,323333.28,8.5
2026,3,4,2026,6,155,MIROC5,379032.29,8.5
2026,3,5,2026,6,156,CCSM4,592093.68,8.5
2026,3,26,2026,6,177,CanESM2,827320.29,8.5
2026,3,31,2026,6,182,CESM1-BGC,214513.92,8.5
2026,12,12,2027,3,73,CCSM4,582866.45,8.5
2026,12,31,2027,3,92,MIROC5,422336.39,8.5
2027,1,8,2027,4,100,GFDL-CM3,424782.02,8.5
2027,1,19,2027,4,111,HadGEM2-ES,317962.25,8.5
2027,1,29,2027,4,121,HadGEM2-CC,239514.03,8.5
2027,2,3,2027,5,126,CMCC-CMS,324424.04,8.5
2027,2,18,2027,5,141,CESM1-BGC,175148.23,8.5
2027,2,19,2027,5,142,CNRM-CM5,202177.96,8.5
2027,3,5,2027,6,156,ACCESS1-0,779961.75,8.5
2027,3,6,2027,6,157,CanESM2,671775.25,8.5
2028,10,12,2029,1,12,CMCC-CMS,115139.59,8.5
2028,12,27,2029,3,88,HadGEM2-ES,382706.3,8.5
2029,1,6,2029,4,98,MIROC5,487176.02,8.5
2029,1,20,2029,4,112,CESM1-BGC,753651.83,8.5
2029,2,3,2029,5,126,ACCESS1-0,425967.02,8.5
2029,2,3,2029,5,126,CNRM-CM5,808960.62,8.5
2029,2,17,2029,5,140,CanESM2,53746.86,8.5
2029,2,18,2029,5,141,GFDL-CM3,577091.22,8.5
2029,2,23,2029,5,146,CCSM4,423416.65,8.5
2029,3,18,2029,6,169,HadGEM2-CC,654513.91,8.5
2029,12,14,2030,3,75,MIROC5,363620.87,8.5
2029,12,19,2030,3,80,CESM1-BGC,733788.28,8.5
2030,1,5,2030,4,97,CanESM2,165355.14,8.5
2030,1,15,2030,4,107,CNRM-CM5,551892.01,8.5
2030,1,24,2030,4,116,CCSM4,177463.42,8.5
2030,2,4,2030,5,127,GFDL-CM3,660447.39,8.5
2030,2,9,2030,5,132,CMCC-CMS,425751.55,8.5
2030,2,14,2030,5,137,HadGEM2-CC,657628.18,8.5
2030,3,21,2030,6,172,ACCESS1-0,516756.99,8.5
2030,4,7,2030,7,189,HadGEM2-ES,682792.12,8.5
2030,11,28,2031,2,59,GFDL-CM3,592593.45,8.5
2031,1,14,2031,4,106,CNRM-CM5,762728.76,8.5
2031,1,27,2031,4,119,CMCC-CMS,128463.01,8.5
2031,2,2,2031,5,125,ACCESS1-0,430606.77,8.5
2031,2,12,2031,5,135,CCSM4,184399.84,8.5
2031,3,4,2031,6,155,MIROC5,375463.54,8.5
2031,3,6,2031,6,157,CESM1-BGC,622204,8.5
2031,3,17,2031,6,168,HadGEM2-CC,349730.36,8.5
2031,3,24,2031,6,175,CanESM2,396487.33,8.5
2031,5,3,2031,8,215,HadGEM2-ES,173110.96,8.5
2032,11,23,2033,2,54,CNRM-CM5,442549.11,8.5
2033,1,3,2033,4,95,HadGEM2-ES,284314.91,8.5
2033,1,27,2033,4,119,CanESM2,964856.67,8.5
2033,1,30,2033,4,122,CESM1-BGC,419256.35,8.5
2033,3,3,2033,6,154,CMCC-CMS,555713.8,8.5
2033,3,4,2033,6,155,HadGEM2-CC,666575.17,8.5
2033,3,6,2033,6,157,ACCESS1-0,356996.44,8.5
2033,3,13,2033,6,164,GFDL-CM3,143085.25,8.5
2033,3,17,2033,6,168,CCSM4,176432.69,8.5
2033,4,3,2033,7,185,MIROC5,270664.83,8.5
2034,1,1,2034,4,93,CCSM4,595957.43,8.5
2034,1,5,2034,4,97,GFDL-CM3,83303.61,8.5
2034,1,14,2034,4,106,CESM1-BGC,1167871.13,8.5
2034,1,19,2034,4,111,CMCC-CMS,649518.73,8.5
2034,1,21,2034,4,113,CanESM2,106704.32,8.5
2034,1,24,2034,4,116,ACCESS1-0,614265.03,8.5
2034,1,30,2034,4,122,HadGEM2-ES,244373.32,8.5
2034,3,4,2034,6,155,MIROC5,297345.45,8.5
2034,3,13,2034,6,164,CNRM-CM5,887426.04,8.5
2034,4,17,2034,7,199,HadGEM2-CC,233340.98,8.5
2034,12,21,2035,3,82,MIROC5,92410.78,8.5
2034,12,30,2035,3,91,CESM1-BGC,65503.84,8.5
2035,1,26,2035,4,118,HadGEM2-ES,815887.47,8.5
2035,1,27,2035,4,119,CNRM-CM5,1140547.67,8.5
2035,2,1,2035,5,124,CMCC-CMS,618278.58,8.5
2035,2,5,2035,5,128,ACCESS1-0,80965.42,8.5
2035,3,29,2035,6,180,GFDL-CM3,546686.75,8.5
2035,4,8,2035,7,190,HadGEM2-CC,700657.63,8.5
2035,5,8,2035,8,220,CanESM2,54182.52,8.5
2035,6,16,2035,9,259,CCSM4,61022.61,8.5
2036,12,9,2037,3,70,CMCC-CMS,544990.64,8.5
2036,12,29,2037,3,90,CCSM4,643143.08,8.5
2037,1,29,2037,4,121,CNRM-CM5,530932.79,8.5
2037,2,2,2037,5,125,GFDL-CM3,586788.23,8.5
2037,2,4,2037,5,127,CanESM2,106930.21,8.5
2037,2,18,2037,5,141,ACCESS1-0,703102.32,8.5
2037,2,18,2037,5,141,CESM1-BGC,421602.16,8.5
2037,2,23,2037,5,146,MIROC5,261485.8,8.5
2037,3,15,2037,6,166,HadGEM2-CC,245788.64,8.5
2037,3,29,2037,6,180,HadGEM2-ES,267212.38,8.5
2037,12,1,2038,3,62,MIROC5,81339.37,8.5
2038,1,13,2038,4,105,HadGEM2-CC,326229.1,8.5
2038,1,21,2038,4,113,CNRM-CM5,1322814.68,8.5
2038,1,30,2038,4,122,CanESM2,793917.61,8.5
2038,2,3,2038,5,126,ACCESS1-0,461531.79,8.5
2038,2,6,2038,5,129,HadGEM2-ES,770835.44,8.5
2038,2,12,2038,5,135,CESM1-BGC,87121.06,8.5
2038,2,24,2038,5,147,CCSM4,636102.54,8.5
2038,2,26,2038,5,149,CMCC-CMS,355849.55,8.5
2038,4,7,2038,7,189,GFDL-CM3,221528.01,8.5
