Flow (cfs),Date,Excel Datenum,Year,Month,Day
96512,2/13/1955 0:00,56658,2055,2,13
35737,3/19/1956 0:00,57058,2056,3,19
70594,11/24/1956 0:00,57308,2056,11,24
66322,1/23/1958 0:00,57733,2058,1,23
49028,4/2/1959 0:00,58167,2059,4,2
42044,2/25/1960 0:00,58496,2060,2,25
166779,2/26/1961 0:00,58863,2061,2,26
32174,1/6/1962 0:00,59177,2062,1,6
38229,1/12/1963 0:00,59548,2063,1,12
80317,4/14/1964 0:00,60006,2064,4,14
49421,1/8/1965 0:00,60275,2065,1,8
365651,2/24/1966 0:00,60687,2066,2,24
44222,2/24/1967 0:00,61052,2067,2,24
312746,2/17/1968 0:00,61410,2068,2,17
113395,1/10/1969 0:00,61738,2069,1,10
38672,2/24/1970 0:00,62148,2070,2,24
46839,3/10/1971 0:00,62527,2071,3,10
37194,2/26/1972 0:00,62880,2072,2,26
160613,12/13/1972 0:00,63171,2072,12,13
47698,3/11/1974 0:00,63624,2074,3,11
84372,2/15/1975 0:00,63965,2075,2,15
208623,1/3/1976 0:00,64287,2076,1,3
206280,12/11/1976 0:00,64630,2076,12,11
63130,12/11/1977 0:00,64995,2077,12,11
43338,4/9/1979 0:00,65479,2079,4,9
217953,12/27/1979 0:00,65741,2079,12,27
325813,12/11/1980 0:00,66091,2080,12,11
41495,3/3/1982 0:00,66538,2082,3,3
207889,2/14/1983 0:00,66886,2083,2,14
28578,12/24/1983 0:00,67199,2083,12,24
54449,3/17/1955 0:00,56690,2055,3,17
161505,2/2/1956 0:00,57012,2056,2,2
281829,12/28/1956 0:00,57342,2056,12,28
322313,1/15/1958 0:00,57725,2058,1,15
265232,2/21/1959 0:00,58127,2059,2,21
213248,2/27/1960 0:00,58498,2060,2,27
190565,2/2/1961 0:00,58839,2061,2,2
371026,1/2/1962 0:00,59173,2062,1,2
257497,3/10/1963 0:00,59605,2063,3,10
247415,3/7/1964 0:00,59968,2064,3,7
80617,1/4/1965 0:00,60271,2065,1,4
270692,1/19/1966 0:00,60651,2066,1,19
198762,2/15/1967 0:00,61043,2067,2,15
53776,3/5/1968 0:00,61427,2068,3,5
125369,1/25/1969 0:00,61753,2069,1,25
226772,1/4/1970 0:00,62097,2070,1,4
207243,1/2/1971 0:00,62460,2071,1,2
102782,1/11/1972 0:00,62834,2072,1,11
254553,2/12/1973 0:00,63232,2073,2,12
372521,1/27/1974 0:00,63581,2074,1,27
158395,2/3/1975 0:00,63953,2075,2,3
81798,2/28/1976 0:00,64343,2076,2,28
560386,1/30/1977 0:00,64680,2077,1,30
386309,1/8/1978 0:00,65023,2078,1,8
173481,4/14/1979 0:00,65484,2079,4,14
65020,3/3/1980 0:00,65808,2080,3,3
553766,2/3/1981 0:00,66145,2081,2,3
166259,3/6/1982 0:00,66541,2082,3,6
44721,2/11/1983 0:00,66883,2083,2,11
674611,1/12/1984 0:00,67218,2084,1,12
135535,2/11/1955 0:00,56656,2055,2,11
211323,1/8/1956 0:00,56987,2056,1,8
243884,3/20/1957 0:00,57424,2057,3,20
388074,3/5/1958 0:00,57774,2058,3,5
31660,4/14/1959 0:00,58179,2059,4,14
239528,1/16/1960 0:00,58456,2060,1,16
335526,1/16/1961 0:00,58822,2061,1,16
330179,2/21/1962 0:00,59223,2062,2,21
73549,1/16/1963 0:00,59552,2063,1,16
131570,2/28/1964 0:00,59960,2064,2,28
264963,1/16/1965 0:00,60283,2065,1,16
347487,2/19/1966 0:00,60682,2066,2,19
75672,12/21/1966 0:00,60987,2066,12,21
78429,1/24/1968 0:00,61386,2068,1,24
260328,1/15/1969 0:00,61743,2069,1,15
422954,2/13/1970 0:00,62137,2070,2,13
521463,2/18/1971 0:00,62507,2071,2,18
70340,2/23/1972 0:00,62877,2072,2,23
301174,3/6/1973 0:00,63254,2073,3,6
60303,3/6/1974 0:00,63619,2074,3,6
280071,3/9/1975 0:00,63987,2075,3,9
198221,3/27/1976 0:00,64371,2076,3,27
110446,3/18/1977 0:00,64727,2077,3,18
267759,12/4/1977 0:00,64988,2077,12,4
203741,3/19/1979 0:00,65458,2079,3,19
410382,1/21/1980 0:00,65766,2080,1,21
387830,1/4/1981 0:00,66115,2081,1,4
73462,1/4/1982 0:00,66480,2082,1,4
115608,3/16/1983 0:00,66916,2083,3,16
304745,2/22/1984 0:00,67259,2084,2,22
89842,3/4/1955 0:00,56677,2055,3,4
306943,1/4/1956 0:00,56983,2056,1,4
27184,6/15/1957 0:00,57511,2057,6,15
218351,4/23/1958 0:00,57823,2058,4,23
102141,2/7/1959 0:00,58113,2059,2,7
322543,1/9/1960 0:00,58449,2060,1,9
170102,3/14/1961 0:00,58879,2061,3,14
282088,3/18/1962 0:00,59248,2062,3,18
111079,4/4/1963 0:00,59630,2063,4,4
60217,1/20/1964 0:00,59921,2064,1,20
306440,3/7/1965 0:00,60333,2065,3,7
200106,2/12/1966 0:00,60675,2066,2,12
30498,4/22/1967 0:00,61109,2067,4,22
140882,3/27/1968 0:00,61449,2068,3,27
261784,12/24/1968 0:00,61721,2068,12,24
161964,12/30/1969 0:00,62092,2069,12,30
36572,12/8/1970 0:00,62435,2070,12,8
237747,2/27/1972 0:00,62881,2072,2,27
67038,4/1/1973 0:00,63280,2073,4,1
53601,9/28/1974 0:00,63825,2074,9,28
492938,2/3/1975 0:00,63953,2075,2,3
293776,1/9/1976 0:00,64293,2076,1,9
316257,1/14/1977 0:00,64664,2077,1,14
209323,2/3/1978 0:00,65049,2078,2,3
239551,2/18/1979 0:00,65429,2079,2,18
302645,1/25/1980 0:00,65770,2080,1,25
89469,11/26/1980 0:00,66076,2080,11,26
161982,3/9/1982 0:00,66544,2082,3,9
399024,3/16/1983 0:00,66916,2083,3,16
41502,1/19/1984 0:00,67225,2084,1,19
272306,3/2/1955 0:00,56675,2055,3,2
463751,1/17/1956 0:00,56996,2056,1,17
374580,1/23/1957 0:00,57368,2057,1,23
263559,2/17/1958 0:00,57758,2058,2,17
386081,1/11/1959 0:00,58086,2059,1,11
520118,12/30/1959 0:00,58439,2059,12,30
575764,1/14/1961 0:00,58820,2061,1,14
157794,1/3/1962 0:00,59174,2062,1,3
500696,1/29/1963 0:00,59565,2063,1,29
59690,3/29/1964 0:00,59990,2064,3,29
639885,2/6/1965 0:00,60304,2065,2,6
261560,3/19/1966 0:00,60710,2066,3,19
196464,2/2/1967 0:00,61030,2067,2,2
61508,5/20/1968 0:00,61503,2068,5,20
299230,11/23/1968 0:00,61690,2068,11,23
669982,2/3/1970 0:00,62127,2070,2,3
42416,1/23/1971 0:00,62481,2071,1,23
286789,2/2/1972 0:00,62856,2072,2,2
327227,1/7/1973 0:00,63196,2073,1,7
407462,12/21/1973 0:00,63544,2073,12,21
457944,11/26/1974 0:00,63884,2074,11,26
344248,1/9/1976 0:00,64293,2076,1,9
435136,1/28/1977 0:00,64678,2077,1,28
261459,2/28/1978 0:00,65074,2078,2,28
556948,1/22/1979 0:00,65402,2079,1,22
750569,2/4/1980 0:00,65780,2080,2,4
398969,2/16/1981 0:00,66158,2081,2,16
275622,2/3/1982 0:00,66510,2082,2,3
30911,1/13/1983 0:00,66854,2083,1,13
80069,3/1/1984 0:00,67267,2084,3,1
552600,2/3/1955 0:00,56648,2055,2,3
140214,3/25/1956 0:00,57064,2056,3,25
531439,2/1/1957 0:00,57377,2057,2,1
454911,1/29/1958 0:00,57739,2058,1,29
446005,1/9/1959 0:00,58084,2059,1,9
219435,2/2/1960 0:00,58473,2060,2,2
498170,12/8/1960 0:00,58783,2060,12,8
438042,1/27/1962 0:00,59198,2062,1,27
823022,1/25/1963 0:00,59561,2063,1,25
702554,1/27/1964 0:00,59928,2064,1,27
355612,2/12/1965 0:00,60310,2065,2,12
27079,1/21/1966 0:00,60653,2066,1,21
58062,1/22/1967 0:00,61019,2067,1,22
821600,1/24/1968 0:00,61386,2068,1,24
444103,2/3/1969 0:00,61762,2069,2,3
41140,2/23/1970 0:00,62147,2070,2,23
596817,1/13/1971 0:00,62471,2071,1,13
562419,1/18/1972 0:00,62841,2072,1,18
663712,2/12/1973 0:00,63232,2073,2,12
658390,1/30/1974 0:00,63584,2074,1,30
65250,4/6/1975 0:00,64015,2075,4,6
139671,2/2/1976 0:00,64317,2076,2,2
243185,2/18/1977 0:00,64699,2077,2,18
202982,2/14/1978 0:00,65060,2078,2,14
568526,1/19/1979 0:00,65399,2079,1,19
439844,2/7/1980 0:00,65783,2080,2,7
31894,1/27/1981 0:00,66138,2081,1,27
893939,1/18/1982 0:00,66494,2082,1,18
497396,2/3/1983 0:00,66875,2083,2,3
507901,1/29/1984 0:00,67235,2084,1,29
102483,4/3/1955 0:00,56707,2055,4,3
57048,3/18/1956 0:00,57057,2056,3,18
106466,2/27/1957 0:00,57403,2057,2,27
336630,2/3/1958 0:00,57744,2058,2,3
72706,3/4/1959 0:00,58138,2059,3,4
266203,12/27/1959 0:00,58436,2059,12,27
262444,3/27/1961 0:00,58892,2061,3,27
242698,12/29/1961 0:00,59169,2061,12,29
146215,1/29/1963 0:00,59565,2063,1,29
265568,1/25/1964 0:00,59926,2064,1,25
303904,3/5/1965 0:00,60331,2065,3,5
232043,3/23/1966 0:00,60714,2066,3,23
114869,4/2/1967 0:00,61089,2067,4,2
255074,4/3/1968 0:00,61456,2068,4,3
72658,2/4/1969 0:00,61763,2069,2,4
366301,1/31/1970 0:00,62124,2070,1,31
254987,4/2/1971 0:00,62550,2071,4,2
290003,3/10/1972 0:00,62893,2072,3,10
215056,2/19/1973 0:00,63239,2073,2,19
103387,2/21/1974 0:00,63606,2074,2,21
39128,2/20/1975 0:00,63970,2075,2,20
170951,1/9/1976 0:00,64293,2076,1,9
480863,1/2/1977 0:00,64652,2077,1,2
40329,2/17/1978 0:00,65063,2078,2,17
276529,1/4/1979 0:00,65384,2079,1,4
104084,2/18/1980 0:00,65794,2080,2,18
54588,4/24/1981 0:00,66225,2081,4,24
148208,1/6/1982 0:00,66482,2082,1,6
275154,1/16/1983 0:00,66857,2083,1,16
269067,3/25/1984 0:00,67291,2084,3,25
187374,11/27/1954 0:00,56580,2054,11,27
39645,1/25/1956 0:00,57004,2056,1,25
105060,11/9/1956 0:00,57293,2056,11,9
197506,2/17/1958 0:00,57758,2058,2,17
153653,2/7/1959 0:00,58113,2059,2,7
39882,2/29/1960 0:00,58500,2060,2,29
294702,2/7/1961 0:00,58844,2061,2,7
38250,3/18/1962 0:00,59248,2062,3,18
