water_year,water_month,rep,flow,model,rcp,water_day,scenario
1983,8,5,95025.9,ACCESS1-0,8.5,217,RCP 4.5 and 8.5 1996
1984,9,10,158213.56,ACCESS1-0,8.5,249,RCP 4.5 and 8.5 1996
1985,7,5,112694.76,ACCESS1-0,8.5,197,RCP 4.5 and 8.5 1996
1986,7,2,31079.55,ACCESS1-0,8.5,186,RCP 4.5 and 8.5 1996
1986,7,5,30971.17,ACCESS1-0,8.5,208,RCP 4.5 and 8.5 1996
1986,8,3,33921.75,ACCESS1-0,8.5,213,RCP 4.5 and 8.5 1996
1987,5,1,27752.15,ACCESS1-0,8.5,145,RCP 4.5 and 8.5 1996
1987,5,2,27428.9,ACCESS1-0,8.5,127,RCP 4.5 and 8.5 1996
1987,5,3,31162.95,ACCESS1-0,8.5,130,RCP 4.5 and 8.5 1996
1987,5,4,30757.82,ACCESS1-0,8.5,138,RCP 4.5 and 8.5 1996
1988,4,2,43885.63,ACCESS1-0,8.5,116,RCP 4.5 and 8.5 1996
1988,8,3,46417.77,ACCESS1-0,8.5,216,RCP 4.5 and 8.5 1996
1988,10,1,42951.32,ACCESS1-0,8.5,286,RCP 4.5 and 8.5 1996
1988,10,4,43331.9,ACCESS1-0,8.5,294,RCP 4.5 and 8.5 1996
1989,5,10,312209.31,ACCESS1-0,8.5,132,RCP 4.5 and 8.5 1996
1990,6,1,33994.31,ACCESS1-0,8.5,158,RCP 4.5 and 8.5 1996
1990,6,2,32892.25,ACCESS1-0,8.5,174,RCP 4.5 and 8.5 1996
1990,6,7,36100.07,ACCESS1-0,8.5,163,RCP 4.5 and 8.5 1996
1991,4,2,49888.51,ACCESS1-0,8.5,96,RCP 4.5 and 8.5 1996
1991,6,6,61320.96,ACCESS1-0,8.5,159,RCP 4.5 and 8.5 1996
1991,8,2,49818.35,ACCESS1-0,8.5,221,RCP 4.5 and 8.5 1996
1992,7,3,113224.6,ACCESS1-0,8.5,206,RCP 4.5 and 8.5 1996
1992,7,7,124166.14,ACCESS1-0,8.5,197,RCP 4.5 and 8.5 1996
1993,6,3,76664.71,ACCESS1-0,8.5,180,RCP 4.5 and 8.5 1996
1993,9,7,83980.88,ACCESS1-0,8.5,246,RCP 4.5 and 8.5 1996
1994,4,2,98204.07,ACCESS1-0,8.5,93,RCP 4.5 and 8.5 1996
1994,7,8,123941.18,ACCESS1-0,8.5,184,RCP 4.5 and 8.5 1996
1995,7,8,253270,ACCESS1-0,8.5,200,RCP 4.5 and 8.5 1996
1995,8,2,142150,ACCESS1-0,8.5,213,RCP 4.5 and 8.5 1996
1996,5,10,73557.59,ACCESS1-0,8.5,127,RCP 4.5 and 8.5 1996
1997,7,1,58747.63,ACCESS1-0,8.5,189,RCP 4.5 and 8.5 1996
1997,7,3,63984.74,ACCESS1-0,8.5,186,RCP 4.5 and 8.5 1996
1997,8,6,71307.84,ACCESS1-0,8.5,215,RCP 4.5 and 8.5 1996
1998,5,10,326393.62,ACCESS1-0,8.5,139,RCP 4.5 and 8.5 1996
1999,4,10,138677.63,ACCESS1-0,8.5,99,RCP 4.5 and 8.5 1996
2000,4,3,137446.05,ACCESS1-0,8.5,95,RCP 4.5 and 8.5 1996
2000,5,4,153914.2,ACCESS1-0,8.5,134,RCP 4.5 and 8.5 1996
2000,6,3,127228.77,ACCESS1-0,8.5,156,RCP 4.5 and 8.5 1996
2001,6,7,153458.61,ACCESS1-0,8.5,177,RCP 4.5 and 8.5 1996
2001,7,1,123480.43,ACCESS1-0,8.5,187,RCP 4.5 and 8.5 1996
2001,7,2,124429.04,ACCESS1-0,8.5,185,RCP 4.5 and 8.5 1996
2002,7,10,66757.97,ACCESS1-0,8.5,187,RCP 4.5 and 8.5 1996
2003,3,3,125736.68,ACCESS1-0,8.5,64,RCP 4.5 and 8.5 1996
2003,4,7,141538.81,ACCESS1-0,8.5,107,RCP 4.5 and 8.5 1996
2004,6,7,44229.59,ACCESS1-0,8.5,176,RCP 4.5 and 8.5 1996
2004,7,3,42561.52,ACCESS1-0,8.5,185,RCP 4.5 and 8.5 1996
2005,3,5,101321.62,ACCESS1-0,8.5,76,RCP 4.5 and 8.5 1996
2005,6,2,77723.82,ACCESS1-0,8.5,167,RCP 4.5 and 8.5 1996
2005,6,3,80100.66,ACCESS1-0,8.5,157,RCP 4.5 and 8.5 1996
2006,5,10,216000.4,ACCESS1-0,8.5,147,RCP 4.5 and 8.5 1996
2006,6,10,163259.86,ACCESS1-0,8.5,152,RCP 4.5 and 8.5 1996
2007,5,9,138245.85,ACCESS1-0,8.5,150,RCP 4.5 and 8.5 1996
