water_year,water_month,rep,flow,model,rcp,water_day,scenario
1995,9,3,67135.96,MIROC5,4.5,246,RCP 4.5 and 8.5 1996
1996,5,10,48747.47,MIROC5,4.5,136,RCP 4.5 and 8.5 1996
1997,3,10,232444.14,MIROC5,4.5,81,RCP 4.5 and 8.5 1996
1998,5,1,27396.48,MIROC5,4.5,148,RCP 4.5 and 8.5 1996
1998,5,2,29625.54,MIROC5,4.5,133,RCP 4.5 and 8.5 1996
1998,6,1,26896.53,MIROC5,4.5,152,RCP 4.5 and 8.5 1996
1998,11,3,30315.33,MIROC5,4.5,308,RCP 4.5 and 8.5 1996
1999,4,1,46917.15,MIROC5,4.5,114,RCP 4.5 and 8.5 1996
1999,4,3,55840.77,MIROC5,4.5,120,RCP 4.5 and 8.5 1996
1999,7,1,48839.9,MIROC5,4.5,185,RCP 4.5 and 8.5 1996
1999,7,4,56940.47,MIROC5,4.5,206,RCP 4.5 and 8.5 1996
2000,3,4,72591.49,MIROC5,4.5,72,RCP 4.5 and 8.5 1996
2000,5,6,90974.39,MIROC5,4.5,129,RCP 4.5 and 8.5 1996
2001,4,1,63269.25,MIROC5,4.5,118,RCP 4.5 and 8.5 1996
2001,4,9,73244.88,MIROC5,4.5,123,RCP 4.5 and 8.5 1996
2001,5,9,87727.14,MIROC5,4.5,125,RCP 4.5 and 8.5 1996
2002,5,1,194839.72,MIROC5,4.5,146,RCP 4.5 and 8.5 1996
2002,5,9,450170.45,MIROC5,4.5,126,RCP 4.5 and 8.5 1996
2003,6,10,169117.41,MIROC5,4.5,168,RCP 4.5 and 8.5 1996
2004,5,5,205595.44,MIROC5,4.5,142,RCP 4.5 and 8.5 1996
2004,7,5,168192.63,MIROC5,4.5,195,RCP 4.5 and 8.5 1996
2005,6,10,69639.11,MIROC5,4.5,171,RCP 4.5 and 8.5 1996
2006,6,5,34702.81,MIROC5,4.5,161,RCP 4.5 and 8.5 1996
2006,7,2,25147.61,MIROC5,4.5,183,RCP 4.5 and 8.5 1996
2006,7,3,25261.75,MIROC5,4.5,196,RCP 4.5 and 8.5 1996
2007,6,2,39075.57,MIROC5,4.5,165,RCP 4.5 and 8.5 1996
2007,6,8,39960.74,MIROC5,4.5,154,RCP 4.5 and 8.5 1996
2008,6,10,190647.42,MIROC5,4.5,162,RCP 4.5 and 8.5 1996
2009,6,1,179437.26,MIROC5,4.5,171,RCP 4.5 and 8.5 1996
2009,6,4,191375.45,MIROC5,4.5,175,RCP 4.5 and 8.5 1996
2009,6,5,245039.02,MIROC5,4.5,160,RCP 4.5 and 8.5 1996
2010,2,5,306985.5,MIROC5,4.5,58,RCP 4.5 and 8.5 1996
2010,3,1,231924.5,MIROC5,4.5,70,RCP 4.5 and 8.5 1996
2010,7,4,255700.63,MIROC5,4.5,186,RCP 4.5 and 8.5 1996
1981,3,5,376617.74,MIROC5,8.5,77,RCP 4.5 and 8.5 1996
1981,4,1,292627.1,MIROC5,8.5,110,RCP 4.5 and 8.5 1996
1981,5,4,369229.98,MIROC5,8.5,150,RCP 4.5 and 8.5 1996
1981,6,4,312622.92,MIROC5,8.5,152,RCP 4.5 and 8.5 1996
1982,3,7,162873.66,MIROC5,8.5,68,RCP 4.5 and 8.5 1996
1982,7,3,108553.47,MIROC5,8.5,193,RCP 4.5 and 8.5 1996
1983,4,3,65646.57,MIROC5,8.5,104,RCP 4.5 and 8.5 1996
1983,7,1,62741.5,MIROC5,8.5,198,RCP 4.5 and 8.5 1996
1983,7,5,66656.35,MIROC5,8.5,188,RCP 4.5 and 8.5 1996
1984,4,2,21973.89,MIROC5,8.5,116,RCP 4.5 and 8.5 1996
1984,4,3,22225.44,MIROC5,8.5,112,RCP 4.5 and 8.5 1996
1984,4,5,25449.46,MIROC5,8.5,121,RCP 4.5 and 8.5 1996
1985,3,4,399953.45,MIROC5,8.5,68,RCP 4.5 and 8.5 1996
1985,5,6,560725.44,MIROC5,8.5,128,RCP 4.5 and 8.5 1996
1986,5,2,94026.35,MIROC5,8.5,144,RCP 4.5 and 8.5 1996
1986,7,4,85713.18,MIROC5,8.5,186,RCP 4.5 and 8.5 1996
1987,6,6,155008.62,MIROC5,8.5,169,RCP 4.5 and 8.5 1996
1987,8,4,142097.01,MIROC5,8.5,216,RCP 4.5 and 8.5 1996
1988,5,10,61648.29,MIROC5,8.5,145,RCP 4.5 and 8.5 1996
1989,4,5,48362.66,MIROC5,8.5,110,RCP 4.5 and 8.5 1996
1989,6,5,45764.39,MIROC5,8.5,167,RCP 4.5 and 8.5 1996
1990,3,10,64154.4,MIROC5,8.5,90,RCP 4.5 and 8.5 1996
1990,4,10,45959.08,MIROC5,8.5,93,RCP 4.5 and 8.5 1996
1991,4,2,76662.4,MIROC5,8.5,106,RCP 4.5 and 8.5 1996
1991,7,4,92985.83,MIROC5,8.5,188,RCP 4.5 and 8.5 1996
1991,8,4,81747.64,MIROC5,8.5,216,RCP 4.5 and 8.5 1996
1992,5,5,254481.03,MIROC5,8.5,139,RCP 4.5 and 8.5 1996
1993,4,7,228592.97,MIROC5,8.5,116,RCP 4.5 and 8.5 1996
1993,6,3,157705.7,MIROC5,8.5,168,RCP 4.5 and 8.5 1996
1994,2,10,65296.59,MIROC5,8.5,50,RCP 4.5 and 8.5 1996
1995,6,6,73250,MIROC5,8.5,182,RCP 4.5 and 8.5 1996
1995,7,6,80741,MIROC5,8.5,184,RCP 4.5 and 8.5 1996
1995,9,1,65090.98,MIROC5,8.5,253,RCP 4.5 and 8.5 1996
1995,9,3,67135.98,MIROC5,8.5,246,RCP 4.5 and 8.5 1996
1996,5,10,48539.09,MIROC5,8.5,136,RCP 4.5 and 8.5 1996
1997,3,10,229680.81,MIROC5,8.5,81,RCP 4.5 and 8.5 1996
1998,5,1,28180.31,MIROC5,8.5,148,RCP 4.5 and 8.5 1996
1998,5,2,30563.26,MIROC5,8.5,133,RCP 4.5 and 8.5 1996
1998,6,1,28013.44,MIROC5,8.5,152,RCP 4.5 and 8.5 1996
1998,11,3,29987,MIROC5,8.5,308,RCP 4.5 and 8.5 1996
1999,4,1,50879.37,MIROC5,8.5,114,RCP 4.5 and 8.5 1996
1999,4,2,50410.15,MIROC5,8.5,109,RCP 4.5 and 8.5 1996
1999,4,3,59784.03,MIROC5,8.5,120,RCP 4.5 and 8.5 1996
1999,7,1,50543.69,MIROC5,8.5,185,RCP 4.5 and 8.5 1996
1999,7,3,58634.79,MIROC5,8.5,206,RCP 4.5 and 8.5 1996
2000,3,4,76651.91,MIROC5,8.5,73,RCP 4.5 and 8.5 1996
2000,5,6,94443.11,MIROC5,8.5,129,RCP 4.5 and 8.5 1996
2001,4,1,63975.49,MIROC5,8.5,118,RCP 4.5 and 8.5 1996
2001,4,9,75484.34,MIROC5,8.5,123,RCP 4.5 and 8.5 1996
2001,5,9,90832.23,MIROC5,8.5,125,RCP 4.5 and 8.5 1996
2002,5,1,203530.01,MIROC5,8.5,146,RCP 4.5 and 8.5 1996
2002,5,9,464485.5,MIROC5,8.5,126,RCP 4.5 and 8.5 1996
2003,6,10,173550.57,MIROC5,8.5,168,RCP 4.5 and 8.5 1996
2004,5,4,206323.58,MIROC5,8.5,142,RCP 4.5 and 8.5 1996
2004,7,6,192992.43,MIROC5,8.5,195,RCP 4.5 and 8.5 1996
2005,6,10,73259.14,MIROC5,8.5,171,RCP 4.5 and 8.5 1996
2006,6,7,89774.52,MIROC5,8.5,172,RCP 4.5 and 8.5 1996
2006,7,3,83018.49,MIROC5,8.5,183,RCP 4.5 and 8.5 1996
2007,7,4,58909.08,MIROC5,8.5,200,RCP 4.5 and 8.5 1996
2007,7,6,66875.15,MIROC5,8.5,185,RCP 4.5 and 8.5 1996
2008,5,3,79092.69,MIROC5,8.5,142,RCP 4.5 and 8.5 1996
2008,5,6,89985.49,MIROC5,8.5,126,RCP 4.5 and 8.5 1996
2008,8,1,75532.93,MIROC5,8.5,240,RCP 4.5 and 8.5 1996
2009,4,10,338747.44,MIROC5,8.5,119,RCP 4.5 and 8.5 1996
2009,5,10,188640.92,MIROC5,8.5,124,RCP 4.5 and 8.5 1996
2010,5,3,153141.23,MIROC5,8.5,131,RCP 4.5 and 8.5 1996
2010,7,2,144189.07,MIROC5,8.5,191,RCP 4.5 and 8.5 1996
2010,7,5,149102.61,MIROC5,8.5,202,RCP 4.5 and 8.5 1996
2015,3,2,283251.7,ACCESS1-0,4.5,74,RCP 4.5 2030
2015,4,6,386870.26,ACCESS1-0,4.5,115,RCP 4.5 2030
2015,5,2,295877.17,ACCESS1-0,4.5,145,RCP 4.5 2030
2016,7,10,101549.81,ACCESS1-0,4.5,199,RCP 4.5 2030
2017,5,9,181780.21,ACCESS1-0,4.5,138,RCP 4.5 2030
2017,6,1,118970.67,ACCESS1-0,4.5,153,RCP 4.5 2030
2018,5,10,172883.14,ACCESS1-0,4.5,146,RCP 4.5 2030
2018,6,10,83853.47,ACCESS1-0,4.5,152,RCP 4.5 2030
2019,7,10,50578.43,ACCESS1-0,4.5,187,RCP 4.5 2030
2020,4,1,23975.77,ACCESS1-0,4.5,117,RCP 4.5 2030
2020,9,2,21329.23,ACCESS1-0,4.5,264,RCP 4.5 2030
2020,9,7,22178.89,ACCESS1-0,4.5,253,RCP 4.5 2030
2021,6,4,54985.57,ACCESS1-0,4.5,173,RCP 4.5 2030
2021,6,6,55222.22,ACCESS1-0,4.5,182,RCP 4.5 2030
2022,4,1,129604.46,ACCESS1-0,4.5,123,RCP 4.5 2030
2022,5,9,248289.61,ACCESS1-0,4.5,141,RCP 4.5 2030
2023,5,4,100984.51,ACCESS1-0,4.5,127,RCP 4.5 2030
2023,5,6,100449.72,ACCESS1-0,4.5,142,RCP 4.5 2030
2024,3,6,208255.83,ACCESS1-0,4.5,89,RCP 4.5 2030
2024,4,2,116922.39,ACCESS1-0,4.5,121,RCP 4.5 2030
2024,6,2,115378.96,ACCESS1-0,4.5,156,RCP 4.5 2030
2025,6,10,146561.28,ACCESS1-0,4.5,175,RCP 4.5 2030
2026,3,4,28922.95,ACCESS1-0,4.5,65,RCP 4.5 2030
2026,11,6,24976.21,ACCESS1-0,4.5,316,RCP 4.5 2030
2027,5,8,128264.88,ACCESS1-0,4.5,126,RCP 4.5 2030
2027,6,1,84184.54,ACCESS1-0,4.5,153,RCP 4.5 2030
2028,4,2,90216.6,ACCESS1-0,4.5,114,RCP 4.5 2030
2028,6,8,95969.81,ACCESS1-0,4.5,162,RCP 4.5 2030
2029,4,1,95686.57,ACCESS1-0,4.5,123,RCP 4.5 2030
2029,5,9,127203.41,ACCESS1-0,4.5,129,RCP 4.5 2030
2030,3,14,100030.51,ACCESS1-0,4.5,90,RCP 4.5 2030
2030,4,14,91958.19,ACCESS1-0,4.5,93,RCP 4.5 2030
2031,4,14,92993.3,ACCESS1-0,4.5,100,RCP 4.5 2030
2031,5,1,88621.55,ACCESS1-0,4.5,124,RCP 4.5 2030
2031,5,5,94636.83,ACCESS1-0,4.5,130,RCP 4.5 2030
2032,3,10,137422.69,ACCESS1-0,4.5,92,RCP 4.5 2030
2032,4,10,158019.24,ACCESS1-0,4.5,96,RCP 4.5 2030
2033,7,4,96592.49,ACCESS1-0,4.5,200,RCP 4.5 2030
2033,7,6,109669.31,ACCESS1-0,4.5,186,RCP 4.5 2030
2034,6,10,195549.41,ACCESS1-0,4.5,158,RCP 4.5 2030
2035,5,10,217760.72,ACCESS1-0,4.5,148,RCP 4.5 2030
2035,6,10,199878.53,ACCESS1-0,4.5,152,RCP 4.5 2030
2036,5,3,74496.37,ACCESS1-0,4.5,127,RCP 4.5 2030
2036,6,7,88317.42,ACCESS1-0,4.5,155,RCP 4.5 2030
2037,4,3,30987.47,ACCESS1-0,4.5,115,RCP 4.5 2030
2037,11,7,26081.07,ACCESS1-0,4.5,319,RCP 4.5 2030
2038,3,1,181172.81,ACCESS1-0,4.5,85,RCP 4.5 2030
2038,3,9,462208.58,ACCESS1-0,4.5,65,RCP 4.5 2030
2039,7,1,233245.21,ACCESS1-0,4.5,195,RCP 4.5 2030
2039,7,9,319048.53,ACCESS1-0,4.5,186,RCP 4.5 2030
2040,2,5,46932.09,ACCESS1-0,4.5,60,RCP 4.5 2030
2040,5,1,34659.6,ACCESS1-0,4.5,140,RCP 4.5 2030
2040,7,4,41835.54,ACCESS1-0,4.5,185,RCP 4.5 2030
2041,6,4,107366.91,ACCESS1-0,4.5,176,RCP 4.5 2030
2041,7,1,80074,ACCESS1-0,4.5,202,RCP 4.5 2030
2041,7,5,92971.24,ACCESS1-0,4.5,184,RCP 4.5 2030
2042,3,10,232710.34,ACCESS1-0,4.5,64,RCP 4.5 2030
2043,6,4,184774.07,ACCESS1-0,4.5,154,RCP 4.5 2030
2043,7,6,248329.58,ACCESS1-0,4.5,208,RCP 4.5 2030
2044,5,10,116584.39,ACCESS1-0,4.5,152,RCP 4.5 2030
2044,6,10,129737.34,ACCESS1-0,4.5,153,RCP 4.5 2030
2015,5,10,506988.35,CCSM4,4.5,138,RCP 4.5 2030
2016,4,1,29282.29,CCSM4,4.5,116,RCP 4.5 2030
2016,4,2,29522.39,CCSM4,4.5,118,RCP 4.5 2030
2016,7,7,42571.58,CCSM4,4.5,186,RCP 4.5 2030
2017,6,10,174392.29,CCSM4,4.5,174,RCP 4.5 2030
2018,4,5,244623.45,CCSM4,4.5,99,RCP 4.5 2030
2018,5,5,256549.7,CCSM4,4.5,151,RCP 4.5 2030
2018,6,5,246654.56,CCSM4,4.5,152,RCP 4.5 2030
2019,6,10,357167.15,CCSM4,4.5,176,RCP 4.5 2030
2020,6,10,102797.74,CCSM4,4.5,155,RCP 4.5 2030
2021,4,2,52433.55,CCSM4,4.5,114,RCP 4.5 2030
2021,4,8,69873.42,CCSM4,4.5,105,RCP 4.5 2030
2022,7,1,47311.95,CCSM4,4.5,196,RCP 4.5 2030
2022,8,9,52178.28,CCSM4,4.5,218,RCP 4.5 2030
2023,5,6,44539.99,CCSM4,4.5,146,RCP 4.5 2030
2023,8,4,33190.42,CCSM4,4.5,213,RCP 4.5 2030
2024,5,5,90527.11,CCSM4,4.5,152,RCP 4.5 2030
2024,6,5,84443.1,CCSM4,4.5,155,RCP 4.5 2030
2025,5,5,65941.26,CCSM4,4.5,140,RCP 4.5 2030
2025,6,5,60806.58,CCSM4,4.5,157,RCP 4.5 2030
2026,4,5,58876.83,CCSM4,4.5,120,RCP 4.5 2030
2026,7,5,53708.34,CCSM4,4.5,185,RCP 4.5 2030
2027,4,2,158022.01,CCSM4,4.5,107,RCP 4.5 2030
2027,5,8,246188.63,CCSM4,4.5,151,RCP 4.5 2030
2027,6,8,246039.2,CCSM4,4.5,152,RCP 4.5 2030
2028,7,10,88415.66,CCSM4,4.5,195,RCP 4.5 2030
2029,4,1,195650.02,CCSM4,4.5,123,RCP 4.5 2030
2029,5,2,201456.25,CCSM4,4.5,126,RCP 4.5 2030
2029,6,3,212626.34,CCSM4,4.5,154,RCP 4.5 2030
2029,6,4,199377.24,CCSM4,4.5,165,RCP 4.5 2030
2030,5,10,99110.28,CCSM4,4.5,151,RCP 4.5 2030
2030,6,10,102966.14,CCSM4,4.5,152,RCP 4.5 2030
2031,4,5,322766.46,CCSM4,4.5,120,RCP 4.5 2030
2031,5,5,215725.41,CCSM4,4.5,149,RCP 4.5 2030
2032,5,10,295516.46,CCSM4,4.5,145,RCP 4.5 2030
2033,2,5,284443.16,CCSM4,4.5,56,RCP 4.5 2030
2033,3,5,228645.39,CCSM4,4.5,72,RCP 4.5 2030
2034,3,10,95345.14,CCSM4,4.5,69,RCP 4.5 2030
2035,4,4,181784.21,CCSM4,4.5,120,RCP 4.5 2030
2035,5,6,179308.51,CCSM4,4.5,149,RCP 4.5 2030
2035,6,6,159204.3,CCSM4,4.5,152,RCP 4.5 2030
2036,2,4,40673.1,CCSM4,4.5,50,RCP 4.5 2030
2036,4,2,28298.71,CCSM4,4.5,116,RCP 4.5 2030
2036,4,4,27730.53,CCSM4,4.5,107,RCP 4.5 2030
2037,5,10,249703.22,CCSM4,4.5,129,RCP 4.5 2030
2038,5,10,64648.95,CCSM4,4.5,148,RCP 4.5 2030
2039,4,1,225082.22,CCSM4,4.5,105,RCP 4.5 2030
2039,4,9,307586.74,CCSM4,4.5,99,RCP 4.5 2030
2040,3,3,65683.6,CCSM4,4.5,89,RCP 4.5 2030
2040,8,7,69921.43,CCSM4,4.5,215,RCP 4.5 2030
2041,3,4,262288.07,CCSM4,4.5,73,RCP 4.5 2030
2041,5,1,244815.34,CCSM4,4.5,147,RCP 4.5 2030
2041,5,5,310486.61,CCSM4,4.5,136,RCP 4.5 2030
2042,5,10,272152.45,CCSM4,4.5,139,RCP 4.5 2030
2043,5,6,280651.02,CCSM4,4.5,147,RCP 4.5 2030
2043,6,4,186287.7,CCSM4,4.5,182,RCP 4.5 2030
2043,7,4,215258.02,CCSM4,4.5,183,RCP 4.5 2030
2044,4,7,66989.23,CCSM4,4.5,110,RCP 4.5 2030
2044,5,2,57395.24,CCSM4,4.5,131,RCP 4.5 2030
2044,6,1,57723.77,CCSM4,4.5,163,RCP 4.5 2030
2015,5,10,262670.46,CESM1,4.5,146,RCP 4.5 2030
2015,6,10,149951.27,CESM1,4.5,152,RCP 4.5 2030
2016,5,10,201544.56,CESM1,4.5,128,RCP 4.5 2030
2017,8,1,26897.55,CESM1,4.5,230,RCP 4.5 2030
2017,8,2,27154.25,CESM1,4.5,236,RCP 4.5 2030
2017,8,6,28752.29,CESM1,4.5,217,RCP 4.5 2030
2018,6,10,350302.58,CESM1,4.5,155,RCP 4.5 2030
2019,5,10,127398.04,CESM1,4.5,149,RCP 4.5 2030
2019,6,10,109658.66,CESM1,4.5,152,RCP 4.5 2030
2020,3,3,268309.84,CESM1,4.5,86,RCP 4.5 2030
2020,6,7,355279.16,CESM1,4.5,155,RCP 4.5 2030
2021,2,10,137160.8,CESM1,4.5,54,RCP 4.5 2030
2022,5,1,208619.26,CESM1,4.5,137,RCP 4.5 2030
2022,5,9,269667.22,CESM1,4.5,151,RCP 4.5 2030
2022,6,9,291457.92,CESM1,4.5,152,RCP 4.5 2030
2023,4,5,212204.27,CESM1,4.5,101,RCP 4.5 2030
2023,6,5,241151.91,CESM1,4.5,165,RCP 4.5 2030
2024,7,1,63977.18,CESM1,4.5,202,RCP 4.5 2030
2024,7,9,89956.44,CESM1,4.5,187,RCP 4.5 2030
2025,7,10,77998.68,CESM1,4.5,190,RCP 4.5 2030
2026,6,10,126501.54,CESM1,4.5,170,RCP 4.5 2030
2027,4,3,409932.39,CESM1,4.5,103,RCP 4.5 2030
2027,5,4,381969.14,CESM1,4.5,138,RCP 4.5 2030
2027,6,3,358583.4,CESM1,4.5,156,RCP 4.5 2030
2028,8,10,101039.85,CESM1,4.5,221,RCP 4.5 2030
2029,3,3,117167.67,CESM1,4.5,82,RCP 4.5 2030
2029,7,7,127852.99,CESM1,4.5,185,RCP 4.5 2030
2030,5,2,112757.95,CESM1,4.5,147,RCP 4.5 2030
2030,6,8,163973.59,CESM1,4.5,159,RCP 4.5 2030
2031,5,1,276144.83,CESM1,4.5,130,RCP 4.5 2030
2031,5,9,379152.2,CESM1,4.5,138,RCP 4.5 2030
2032,5,2,166798.84,CESM1,4.5,132,RCP 4.5 2030
2032,6,8,185943.82,CESM1,4.5,159,RCP 4.5 2030
2033,5,6,253531,CESM1,4.5,145,RCP 4.5 2030
2033,6,4,222423.03,CESM1,4.5,153,RCP 4.5 2030
2034,4,1,38787.83,CESM1,4.5,108,RCP 4.5 2030
2034,5,19,72817.63,CESM1,4.5,149,RCP 4.5 2030
2034,6,19,52831.9,CESM1,4.5,152,RCP 4.5 2030
2035,6,19,335582.02,CESM1,4.5,158,RCP 4.5 2030
2036,6,10,276830,CESM1,4.5,157,RCP 4.5 2030
2037,6,10,338109.82,CESM1,4.5,160,RCP 4.5 2030
2038,2,5,96008.04,CESM1,4.5,51,RCP 4.5 2030
2038,4,2,76753.12,CESM1,4.5,108,RCP 4.5 2030
2038,7,3,82577.99,CESM1,4.5,185,RCP 4.5 2030
2039,4,4,71729.22,CESM1,4.5,110,RCP 4.5 2030
2039,7,6,77096.87,CESM1,4.5,184,RCP 4.5 2030
2040,6,10,90800.7,CESM1,4.5,176,RCP 4.5 2030
2041,4,7,324106.67,CESM1,4.5,111,RCP 4.5 2030
2041,5,3,181333.56,CESM1,4.5,136,RCP 4.5 2030
2042,3,1,86143.61,CESM1,4.5,82,RCP 4.5 2030
2042,5,3,108262.82,CESM1,4.5,125,RCP 4.5 2030
2042,7,6,110124.01,CESM1,4.5,184,RCP 4.5 2030
2043,2,6,72852.87,CESM1,4.5,55,RCP 4.5 2030
2043,6,4,61021.31,CESM1,4.5,161,RCP 4.5 2030
2044,6,5,122819.11,CESM1,4.5,176,RCP 4.5 2030
2044,7,5,102300.08,CESM1,4.5,185,RCP 4.5 2030
2015,6,9,71940.99,CMCC,4.5,177,RCP 4.5 2030
2015,8,1,52991.48,CMCC,4.5,220,RCP 4.5 2030
2016,9,1,28612.24,CMCC,4.5,250,RCP 4.5 2030
2016,9,9,29396.62,CMCC,4.5,259,RCP 4.5 2030
2017,5,2,68307.97,CMCC,4.5,132,RCP 4.5 2030
2017,5,8,117307.83,CMCC,4.5,137,RCP 4.5 2030
2018,6,1,79319.32,CMCC,4.5,182,RCP 4.5 2030
2018,7,9,89135.02,CMCC,4.5,189,RCP 4.5 2030
2019,3,1,47151.82,CMCC,4.5,86,RCP 4.5 2030
2019,7,9,53773.35,CMCC,4.5,188,RCP 4.5 2030
2020,5,1,154275.13,CMCC,4.5,128,RCP 4.5 2030
2020,6,9,335283.9,CMCC,4.5,155,RCP 4.5 2030
2021,4,5,202365.86,CMCC,4.5,102,RCP 4.5 2030
2021,6,5,177822.97,CMCC,4.5,169,RCP 4.5 2030
2022,5,4,122169.38,CMCC,4.5,125,RCP 4.5 2030
2022,6,6,126624.75,CMCC,4.5,160,RCP 4.5 2030
2023,4,10,321887.7,CMCC,4.5,101,RCP 4.5 2030
2024,3,10,273518.99,CMCC,4.5,78,RCP 4.5 2030
2025,2,10,362934.33,CMCC,4.5,52,RCP 4.5 2030
2026,6,1,178433.87,CMCC,4.5,168,RCP 4.5 2030
2026,7,4,181906.41,CMCC,4.5,185,RCP 4.5 2030
2026,7,5,190207.03,CMCC,4.5,190,RCP 4.5 2030
2027,7,2,58289.72,CMCC,4.5,201,RCP 4.5 2030
2027,7,8,107496.35,CMCC,4.5,208,RCP 4.5 2030
2028,5,10,134026.99,CMCC,4.5,149,RCP 4.5 2030
2028,6,10,122017.62,CMCC,4.5,153,RCP 4.5 2030
2029,4,10,97405.25,CMCC,4.5,113,RCP 4.5 2030
2030,5,10,185820.77,CMCC,4.5,151,RCP 4.5 2030
2030,6,10,372963.74,CMCC,4.5,155,RCP 4.5 2030
2031,6,3,53653.37,CMCC,4.5,163,RCP 4.5 2030
2031,6,7,60284.9,CMCC,4.5,155,RCP 4.5 2030
2032,6,10,256044.48,CMCC,4.5,156,RCP 4.5 2030
2033,1,1,21242.38,CMCC,4.5,19,RCP 4.5 2030
2033,3,5,27293.8,CMCC,4.5,71,RCP 4.5 2030
2033,10,4,21799.05,CMCC,4.5,277,RCP 4.5 2030
2034,3,2,31635.77,CMCC,4.5,78,RCP 4.5 2030
2034,3,3,38965.27,CMCC,4.5,69,RCP 4.5 2030
2034,3,5,50039.78,CMCC,4.5,90,RCP 4.5 2030
2035,5,5,107791.53,CMCC,4.5,132,RCP 4.5 2030
2035,6,5,109506.66,CMCC,4.5,173,RCP 4.5 2030
2036,3,3,164810.16,CMCC,4.5,82,RCP 4.5 2030
2036,5,7,153759.36,CMCC,4.5,127,RCP 4.5 2030
2037,6,3,43995.73,CMCC,4.5,157,RCP 4.5 2030
2037,6,7,54857.2,CMCC,4.5,165,RCP 4.5 2030
2038,6,10,167793.39,CMCC,4.5,163,RCP 4.5 2030
2039,5,3,204494.03,CMCC,4.5,139,RCP 4.5 2030
2039,6,7,288534.27,CMCC,4.5,167,RCP 4.5 2030
2040,5,9,55648.1,CMCC,4.5,138,RCP 4.5 2030
2040,6,1,46640.91,CMCC,4.5,159,RCP 4.5 2030
2041,4,7,266737.64,CMCC,4.5,105,RCP 4.5 2030
2041,5,3,219967.37,CMCC,4.5,135,RCP 4.5 2030
2042,7,10,61547.03,CMCC,4.5,186,RCP 4.5 2030
2043,3,10,213997.01,CMCC,4.5,92,RCP 4.5 2030
2043,4,10,344026.24,CMCC,4.5,95,RCP 4.5 2030
2044,4,1,227429.37,CMCC,4.5,95,RCP 4.5 2030
2044,5,6,281770.25,CMCC,4.5,147,RCP 4.5 2030
2044,6,3,269794.23,CMCC,4.5,158,RCP 4.5 2030
2015,4,1,40954.83,CNRM,4.5,103,RCP 4.5 2030
2015,4,5,40792.26,CNRM,4.5,107,RCP 4.5 2030
2015,6,4,55692.99,CNRM,4.5,179,RCP 4.5 2030
2016,4,6,181792.14,CNRM,4.5,115,RCP 4.5 2030
2016,6,4,174903.16,CNRM,4.5,154,RCP 4.5 2030
2017,5,3,76875.04,CNRM,4.5,150,RCP 4.5 2030
2017,6,3,60578.95,CNRM,4.5,152,RCP 4.5 2030
2017,6,7,82459.7,CNRM,4.5,157,RCP 4.5 2030
2018,4,1,220190.72,CNRM,4.5,95,RCP 4.5 2030
2018,4,4,225564.14,CNRM,4.5,106,RCP 4.5 2030
2018,5,5,272836.36,CNRM,4.5,133,RCP 4.5 2030
2019,2,8,115354.68,CNRM,4.5,48,RCP 4.5 2030
2019,7,2,70865.96,CNRM,4.5,185,RCP 4.5 2030
2020,4,5,210024.25,CNRM,4.5,101,RCP 4.5 2030
2020,8,5,196561.44,CNRM,4.5,221,RCP 4.5 2030
2021,6,5,231116.74,CNRM,4.5,168,RCP 4.5 2030
2022,5,5,26274.97,CNRM,4.5,126,RCP 4.5 2030
2022,8,3,25308.35,CNRM,4.5,237,RCP 4.5 2030
2022,11,1,22679.13,CNRM,4.5,317,RCP 4.5 2030
2023,4,4,104098.77,CNRM,4.5,119,RCP 4.5 2030
2023,4,6,115082.98,CNRM,4.5,105,RCP 4.5 2030
2024,5,4,318482.3,CNRM,4.5,136,RCP 4.5 2030
2024,5,6,361579.52,CNRM,4.5,125,RCP 4.5 2030
2025,5,3,255161.48,CNRM,4.5,146,RCP 4.5 2030
2025,6,7,252466.02,CNRM,4.5,157,RCP 4.5 2030
2026,4,6,364557.28,CNRM,4.5,103,RCP 4.5 2030
2026,5,4,299128.52,CNRM,4.5,147,RCP 4.5 2030
2027,4,10,229567.01,CNRM,4.5,123,RCP 4.5 2030
2027,5,10,334551.75,CNRM,4.5,125,RCP 4.5 2030
2028,5,10,221624.29,CNRM,4.5,141,RCP 4.5 2030
2029,3,2,27607.12,CNRM,4.5,76,RCP 4.5 2030
2029,4,2,28287.07,CNRM,4.5,123,RCP 4.5 2030
2029,5,2,26548.91,CNRM,4.5,124,RCP 4.5 2030
2029,5,6,28016.57,CNRM,4.5,129,RCP 4.5 2030
2030,4,6,589889.87,CNRM,4.5,107,RCP 4.5 2030
2030,5,4,417464.97,CNRM,4.5,147,RCP 4.5 2030
2031,4,3,79923.95,CNRM,4.5,122,RCP 4.5 2030
2031,4,4,83173.65,CNRM,4.5,101,RCP 4.5 2030
2032,3,4,294371.75,CNRM,4.5,89,RCP 4.5 2030
2032,4,6,352342.7,CNRM,4.5,120,RCP 4.5 2030
2033,5,10,370561.49,CNRM,4.5,135,RCP 4.5 2030
2034,4,10,191170.26,CNRM,4.5,98,RCP 4.5 2030
2035,4,8,398419.47,CNRM,4.5,120,RCP 4.5 2030
2035,5,1,309917.37,CNRM,4.5,127,RCP 4.5 2030
2036,3,4,508649.83,CNRM,4.5,92,RCP 4.5 2030
