Flow (cfs),Date,Excel Datenum,Year,Month,Day
38672,2/24/70 12:00 AM,62148,2070,2,24
46839,3/10/71 12:00 AM,62527,2071,3,10
37194,2/26/72 12:00 AM,62880,2072,2,26
160613,12/13/72 12:00 AM,63171,2072,12,13
47698,3/11/74 12:00 AM,63624,2074,3,11
84372,2/15/75 12:00 AM,63965,2075,2,15
208623,1/3/76 12:00 AM,64287,2076,1,3
206280,12/11/76 12:00 AM,64630,2076,12,11
63130,12/11/77 12:00 AM,64995,2077,12,11
43338,4/9/79 12:00 AM,65479,2079,4,9
217953,12/27/79 12:00 AM,65741,2079,12,27
325813,12/11/80 12:00 AM,66091,2080,12,11
41495,3/3/82 12:00 AM,66538,2082,3,3
207889,2/14/83 12:00 AM,66886,2083,2,14
28578,12/24/83 12:00 AM,67199,2083,12,24
115713,1/25/85 12:00 AM,67597,2085,1,25
238254,12/16/85 12:00 AM,67922,2085,12,16
193312,2/16/87 12:00 AM,68349,2087,2,16
32669,11/25/87 12:00 AM,68631,2087,11,25
200127,1/13/89 12:00 AM,69046,2089,1,13
53461,2/3/90 12:00 AM,69432,2090,2,3
46916,4/16/91 12:00 AM,69869,2091,4,16
111686,1/2/92 12:00 AM,70130,2092,1,2
194178,2/14/93 12:00 AM,70539,2093,2,14
155655,2/5/94 12:00 AM,70895,2094,2,5
54413,11/28/94 12:00 AM,71191,2094,11,28
104236,2/15/96 12:00 AM,71635,2096,2,15
262207,3/15/97 12:00 AM,72029,2097,3,15
72712,2/19/98 12:00 AM,72370,2098,2,19
77874,2/4/99 12:00 AM,72720,2099,2,4
226772,1/4/70 12:00 AM,62097,2070,1,4
207243,1/2/71 12:00 AM,62460,2071,1,2
102782,1/11/72 12:00 AM,62834,2072,1,11
254553,2/12/73 12:00 AM,63232,2073,2,12
372521,1/27/74 12:00 AM,63581,2074,1,27
158395,2/3/75 12:00 AM,63953,2075,2,3
81798,2/28/76 12:00 AM,64343,2076,2,28
560386,1/30/77 12:00 AM,64680,2077,1,30
386309,1/8/78 12:00 AM,65023,2078,1,8
173481,4/14/79 12:00 AM,65484,2079,4,14
65020,3/3/80 12:00 AM,65808,2080,3,3
553766,2/3/81 12:00 AM,66145,2081,2,3
166259,3/6/82 12:00 AM,66541,2082,3,6
44721,2/11/83 12:00 AM,66883,2083,2,11
674611,1/12/84 12:00 AM,67218,2084,1,12
188628,1/20/85 12:00 AM,67592,2085,1,20
151267,3/20/86 12:00 AM,68016,2086,3,20
241089,2/27/87 12:00 AM,68360,2087,2,27
335672,2/6/88 12:00 AM,68704,2088,2,6
36500,2/15/89 12:00 AM,69079,2089,2,15
34211,3/7/90 12:00 AM,69464,2090,3,7
609499,1/8/91 12:00 AM,69771,2091,1,8
434672,3/2/92 12:00 AM,70190,2092,3,2
382167,1/9/93 12:00 AM,70503,2093,1,9
339589,12/3/93 12:00 AM,70831,2093,12,3
189883,3/17/95 12:00 AM,71300,2095,3,17
106175,1/22/96 12:00 AM,71611,2096,1,22
513860,1/6/97 12:00 AM,71961,2097,1,6
28223,1/17/98 12:00 AM,72337,2098,1,17
39785,2/22/99 12:00 AM,72738,2099,2,22
422954,2/13/70 12:00 AM,62137,2070,2,13
521463,2/18/71 12:00 AM,62507,2071,2,18
70340,2/23/72 12:00 AM,62877,2072,2,23
301174,3/6/73 12:00 AM,63254,2073,3,6
60303,3/6/74 12:00 AM,63619,2074,3,6
280071,3/9/75 12:00 AM,63987,2075,3,9
198221,3/27/76 12:00 AM,64371,2076,3,27
110446,3/18/77 12:00 AM,64727,2077,3,18
267759,12/4/77 12:00 AM,64988,2077,12,4
203741,3/19/79 12:00 AM,65458,2079,3,19
410382,1/21/80 12:00 AM,65766,2080,1,21
387830,1/4/81 12:00 AM,66115,2081,1,4
73462,1/4/82 12:00 AM,66480,2082,1,4
115608,3/16/83 12:00 AM,66916,2083,3,16
304745,2/22/84 12:00 AM,67259,2084,2,22
429070,2/13/85 12:00 AM,67616,2085,2,13
235953,2/2/86 12:00 AM,67970,2086,2,2
462026,2/17/87 12:00 AM,68350,2087,2,17
474797,2/8/88 12:00 AM,68706,2088,2,8
412535,2/19/89 12:00 AM,69083,2089,2,19
164991,2/7/90 12:00 AM,69436,2090,2,7
455685,1/20/91 12:00 AM,69783,2091,1,20
327570,2/1/92 12:00 AM,70160,2092,2,1
416480,2/24/93 12:00 AM,70549,2093,2,24
177342,2/11/94 12:00 AM,70901,2094,2,11
372889,2/10/95 12:00 AM,71265,2095,2,10
369310,2/17/96 12:00 AM,71637,2096,2,17
449721,1/13/97 12:00 AM,71968,2097,1,13
396117,1/24/98 12:00 AM,72344,2098,1,24
199048,3/1/99 12:00 AM,72745,2099,3,1
161964,12/30/69 12:00 AM,62092,2069,12,30
36572,12/8/70 12:00 AM,62435,2070,12,8
237747,2/27/72 12:00 AM,62881,2072,2,27
67038,4/1/73 12:00 AM,63280,2073,4,1
53601,9/28/74 12:00 AM,63825,2074,9,28
492938,2/3/75 12:00 AM,63953,2075,2,3
293776,1/9/76 12:00 AM,64293,2076,1,9
316257,1/14/77 12:00 AM,64664,2077,1,14
209323,2/3/78 12:00 AM,65049,2078,2,3
239551,2/18/79 12:00 AM,65429,2079,2,18
302645,1/25/80 12:00 AM,65770,2080,1,25
89469,11/26/80 12:00 AM,66076,2080,11,26
161982,3/9/82 12:00 AM,66544,2082,3,9
399024,3/16/83 12:00 AM,66916,2083,3,16
41502,1/19/84 12:00 AM,67225,2084,1,19
481759,2/3/85 12:00 AM,67606,2085,2,3
226100,3/2/86 12:00 AM,67998,2086,3,2
377523,1/18/87 12:00 AM,68320,2087,1,18
336973,2/21/88 12:00 AM,68719,2088,2,21
403025,12/23/88 12:00 AM,69025,2088,12,23
50422,2/24/90 12:00 AM,69453,2090,2,24
224382,1/7/91 12:00 AM,69770,2091,1,7
276260,3/14/92 12:00 AM,70202,2092,3,14
321417,3/9/93 12:00 AM,70562,2093,3,9
218742,3/1/94 12:00 AM,70919,2094,3,1
471463,3/11/95 12:00 AM,71294,2095,3,11
58058,2/4/96 12:00 AM,71624,2096,2,4
93680,3/7/97 12:00 AM,72021,2097,3,7
184356,1/29/98 12:00 AM,72349,2098,1,29
27102,8/13/99 12:00 AM,72910,2099,8,13
669982,2/3/70 12:00 AM,62127,2070,2,3
42416,1/23/71 12:00 AM,62481,2071,1,23
286789,2/2/72 12:00 AM,62856,2072,2,2
327227,1/7/73 12:00 AM,63196,2073,1,7
407462,12/21/73 12:00 AM,63544,2073,12,21
457944,11/26/74 12:00 AM,63884,2074,11,26
344248,1/9/76 12:00 AM,64293,2076,1,9
435136,1/28/77 12:00 AM,64678,2077,1,28
261459,2/28/78 12:00 AM,65074,2078,2,28
556948,1/22/79 12:00 AM,65402,2079,1,22
750569,2/4/80 12:00 AM,65780,2080,2,4
398969,2/16/81 12:00 AM,66158,2081,2,16
275622,2/3/82 12:00 AM,66510,2082,2,3
30911,1/13/83 12:00 AM,66854,2083,1,13
80069,3/1/84 12:00 AM,67267,2084,3,1
201133,12/11/84 12:00 AM,67552,2084,12,11
424778,1/24/86 12:00 AM,67961,2086,1,24
727004,1/28/87 12:00 AM,68330,2087,1,28
144868,3/1/88 12:00 AM,68728,2088,3,1
441599,2/11/89 12:00 AM,69075,2089,2,11
494533,2/9/90 12:00 AM,69438,2090,2,9
686583,2/1/91 12:00 AM,69795,2091,2,1
390995,3/3/92 12:00 AM,70191,2092,3,3
127003,1/24/93 12:00 AM,70518,2093,1,24
686326,1/9/94 12:00 AM,70868,2094,1,9
459465,1/18/95 12:00 AM,71242,2095,1,18
303291,1/4/96 12:00 AM,71593,2096,1,4
171194,3/2/97 12:00 AM,72016,2097,3,2
531127,12/30/97 12:00 AM,72319,2097,12,30
616925,2/6/99 12:00 AM,72722,2099,2,6
41140,2/23/70 12:00 AM,62147,2070,2,23
596817,1/13/71 12:00 AM,62471,2071,1,13
562419,1/18/72 12:00 AM,62841,2072,1,18
663712,2/12/73 12:00 AM,63232,2073,2,12
658390,1/30/74 12:00 AM,63584,2074,1,30
65250,4/6/75 12:00 AM,64015,2075,4,6
139671,2/2/76 12:00 AM,64317,2076,2,2
243185,2/18/77 12:00 AM,64699,2077,2,18
202982,2/14/78 12:00 AM,65060,2078,2,14
568526,1/19/79 12:00 AM,65399,2079,1,19
439844,2/7/80 12:00 AM,65783,2080,2,7
31894,1/27/81 12:00 AM,66138,2081,1,27
893939,1/18/82 12:00 AM,66494,2082,1,18
497396,2/3/83 12:00 AM,66875,2083,2,3
507901,1/29/84 12:00 AM,67235,2084,1,29
701695,1/25/85 12:00 AM,67597,2085,1,25
815313,1/27/86 12:00 AM,67964,2086,1,27
202303,2/12/87 12:00 AM,68345,2087,2,12
64402,2/24/88 12:00 AM,68722,2088,2,24
718142,1/14/89 12:00 AM,69047,2089,1,14
817891,1/26/90 12:00 AM,69424,2090,1,26
505938,2/8/91 12:00 AM,69802,2091,2,8
155320,3/11/92 12:00 AM,70199,2092,3,11
864191,1/9/93 12:00 AM,70503,2093,1,9
385077,1/26/94 12:00 AM,70885,2094,1,26
890959,1/16/95 12:00 AM,71240,2095,1,16
49321,3/22/96 12:00 AM,71671,2096,3,22
520652,2/7/97 12:00 AM,71993,2097,2,7
455355,2/22/98 12:00 AM,72373,2098,2,22
430147,1/13/99 12:00 AM,72698,2099,1,13
366301,1/31/70 12:00 AM,62124,2070,1,31
254987,4/2/71 12:00 AM,62550,2071,4,2
290003,3/10/72 12:00 AM,62893,2072,3,10
215056,2/19/73 12:00 AM,63239,2073,2,19
103387,2/21/74 12:00 AM,63606,2074,2,21
39128,2/20/75 12:00 AM,63970,2075,2,20
170951,1/9/76 12:00 AM,64293,2076,1,9
480863,1/2/77 12:00 AM,64652,2077,1,2
